ID,Description,Entry_ID,Comment,Grammar_Comment,Media_IDs,Semantic_Domain,Synonym,alt_translation2
SN000083,"attract somebody or an animal, flatter somebody",amuhu,,,,communication,,
SN000084,you (sg.),an_1,Basic 2nd person singular pronoun. In Vos 01R(Vos) 322 <an> is marked by the object article. It functions as a secondary object of <maake ki>. The primary object is the clitic 3rd person pronoun <=e> in <vu=e> IMM=3SG.PRON,,,grammar,,
SN000085,eat (something with something),an_2,,,,consumption,,
SN000086,root,ana_1,,,ac5b8c0e51f8365839b9a83529c611d0,plants,,
SN000087,grow roots,ana_2,,,,plants ; growth,,
SN000088,grow roots downwards,ana_gunaha,,,,growth ; plants,,
SN000089,root of the coconut m,ana_overe,,,b194c2f55c376855b107358a11805c3b,plants,,
SN000090,suva root; fish poisoning root,ana_suva,,,fe78bb946d4e22e2779b3a1794e1674e,plants,,
SN000091,me,anaa,,,,grammar,,
SN000092,grow many roots,anaana,,,be704af6d8319945ed86490d6d5819dc,plants ; growth,,
SN000093,mullet,anahi,,,612c2a7199a344467ad0fcb0b4696b05 ; b1f657d01737695a66baafefe1c77a22,"animals, fishes",,Mugilidae
SN000094,kind of mangrove,anahuna,,,1d0927667a0bc01f2814868a1e0d43f1 ; 405e11d3766b869d261fa41d87fac484 ; 37a1ca785b624f957187746c4282e8e6,plants,,avicennia species; barringtonia
SN000095,us (but not you),anam,,,,grammar,,
SN000096,eat something,anan,,,,consumption,,
SN000097,eat people; be a cannibal,anan_aba,"The construction <anan aba> is a short form of <aniani aba>. but is only found in Adjectival Phrases, which I simply ascribe to the lack of data.",,,consumption,,
SN000098,leave food uneaten many times (lit. eat leaving something),anan_kahi,,,,consumption,,
SN000099,sorry,anda,,,,communication,,
SN000100,onion,aneana,,,,food & drink,,
SN000101,eat (something with something),ani,,,,consumption,,
SN000102,leave food uneaten (lit. eat from),ani_kahi,,,,consumption,,
SN000103,eat with something (an instrument),ani_ni,,,,consumption,,
SN000104,eat something as a vegetable,ani_paapoo_ni,,,,food & drink ; consumption,,
SN000105,eat something and get sick,ani_vahata,,,,consumption,,
SN000106,get stomach aches from eating something,ani_vakamis_komana_ni,,,,consumption,,
SN000107,eat something so that one is full,ani_vamahumahun_ni,,,,consumption,,
SN000108,eat something so that one is full,ani_vamahun_ni,,,,consumption,,
SN000109,onion,aniana,,,,food & drink,,
SN000110,eat something (habitually); feed on something,aniani_1,,,,consumption,,
SN000111,edible,aniani_2,,,,food & drink ; consumption,,
SN000112,habitually eat people; be a cannibal,aniani_aba,"The construction <aniani aba> 'habitually eat people' functions as the head of a Verb Complex, as a juxtaposed modifier of nouns, and as the head of an adjectival phrase.",,,consumption,,
SN000113,you ... it,anie_1,,,,grammar,,
SN000114,eat it; eat them,anie_2,,,,consumption,,
SN000115,(inland dialect) spinach-like plant,anii,,,b291e78dd722155a0133f5b734aafbdf ; 6d8cbaa88aed14db42d103a23cc4acf5,agriculture,,
SN000116,large crab living in the mangroves,animano,,,ce73a679d3230c8e5ccaabf96d3766f8 ; f419bc437eb20bf00a374cece22fa47e,"animals, unclassified",,crustacea
SN000117,black charcoal,aniva,,,6d5aeb584bd3fae8fa0b4b6596dfcd70 ; 6dee4de3d254e70d859f4fecd30aa91a,substances,,
SN000118,the proclitic object marker <a> and the imperfective aspect marker <nom> form an orthographical word,anom,,,,grammar,,
SN000119,you (pl.) in object function,anomameam,In the examples the imperfective aspect marker agrees with the subject.,,,grammar,,
SN000120,us (but not you),anomanam,In the example the imperfective aspect marker agrees with the object because the object <anam> 1PL.EX.PRON ranks higher on the person hierarchy than <Siapani> 'Japanese'.,,,grammar,,
SN000121,kind of large oyster,anoo,,,6f823686d5ceb21e05fe3bd5ba1204f8 ; 9da4c51cfe4a791e148ce59927d274fd,"animals, shellfish",,Bivalivia
SN000122,stop,antee_1,,,,unclassified,,
SN000123,until,antee_1,,,,,,
SN000124,be enough for a certain time,antee_1,,,,quantification,,
SN000125,be enough for something,antee_1,,,,quantification,,
SN000126,need (a certain amount of something),antee_1,,,,quantification,,
SN000127,reach (a certain amount),antee_1,,,,quantification,,
SN000128,consist of a certain amount of things,antee_1,,,,,,
SN000129,can,antee_2,,,,unclassified,,
SN000130,until something happens,LX000002,,,,time,,
SN000131,big hole in a log or tree,anun,,,15e3a24bd0b2ab0a55d547b05af6331c,plants,,
SN000132,black crow,aoao,,,a95b49c4fbd0840b8a4d6dc6859d2257,"animals, birds",,
SN000133,part of the upee ceremony in which the upee boys are allowed to leave the tobara house,aobo,,,,culture,,
SN000134,thin,apaapa,,,bd7ec03d7af70bce4c5bade13bdd271b ; d99d983715d4e9ba0605fc16679846d8,dimensional properties,,
SN000135,"secondary bush, overgrown old garden that is not in use anymore",apao_1,,,,agriculture,,
SN000136,overgrown,apao_2,,,,agriculture ; growth,,
SN000137,cook many things in a bamboo container,apeapeo,,,,food & drink,,
SN000138,use a kind of bamboo for cooking in a bamboo container,apeapeo_ni,,,,food & drink,,
SN000139,cook something in a bamboo container,apeo,,,,food & drink,,
SN000140,"kind of fragrant plant growing in swampy and cold places, used in times of singsing and other traditional rituals.",apesuu,,,be0eb89d5e8f746346d7196ea981bc03,plants,,
SN000141,"sea bug (smaller than the ""kaposi"")",aposi,,,,"animals, insects",,
SN000142,we (including you),ara_1,,,,grammar,,
SN000143,1st person plural inclusive object marker,ara_2,,,,grammar,,
SN000144,angle; catch fish with a fishing rod and a fishing line,araa_1,,,,fishing,,
SN000145,fishing rod,araa_2,,,,tools & weapons,,
SN000146,"greyish, light-green, edible seaweed, found in reefs and near mangrove swamps",araapa,,,,environment,,
SN000147,us (including you),araara,,,,grammar,,
SN000148,angle with a fishing rod and a fishing line,araaraa,,,,fishing,,
SN000149,angle needlefish,araaraa_hoohoa,,,,fishing,,
SN000150,use something for angling,araaraa_ni,,,,fishing,,
SN000151,use something for angling needlefish,araaraa_ponpon_ni,,,,fishing,,
SN000152,it ... us (including you),araarae,"the pronominal object <ara-ara> 'us' is followed by the 3rd person singular subject pronoun <e> 'he, she, it'",,,grammar,,
SN000153,we ... it,arae,the non-topical 1st person plural inclusive subject pronoun <ara> hosts the 3rd person pronoun in object function,,,grammar,,
SN000154,a climbing fern with edible young shoots,arai_1,,,cdb8300a3deedfdf66b0addd67fdd61f ; 8725e5d82bfcef1f72d623e69d97958b,plants,,marattia species
SN000155,taste spicy,arai_2,,,,food & drink,,
SN000156,1st person plural inclusive basic pronoun functioning as the non-topical subject of a relative clause followed by the enclitic demonstrative <=i> 'this' which functions as the subject of the superordinate clause,arai_3,,,,grammar,,
SN000157,submerge,araka,,,,motion,,
SN000158,swim close to the surface causing a light disturbance of the surface of water,arana,,,,motion,,
SN000159,kind of snapper,aranavi,,,1c01ba79eafad6b60f83d5636bf3c91f,"animals, fishes",,Lutjanidae
SN000160,(of canoes) lie deep in the water,arapa,,,cbdd730ed0c78deaba8753cd47a7e812,boats & other means of transport,,
SN000161,us (including you),araraara,,,,grammar,,
SN000162,"mourn, grieve over something or someone",arata_suku,,,,emotions,,
SN000163,be tame; adapt; be used (to a place or lifestyle),arau,,,,"animals, unclassified",,
SN000164,adapt to something; be used to something,arau_ni,,,,unclassified,,
SN000165,get used to a place; adapt to a place,arau_vo,,,,unclassified,,
SN000166,betelnut palm,are_1,,,abdc766b11bf94fe2d477fbc69206e43 ; 4626d95e451b83376e4f274f6cc751d1,plants,,areca catechu
SN000167,betelnut,are_2,,,f28a2744bbf0e2958618224e33043898,plants,,
SN000168,then we (do something); let's (do something),are_3,,,,grammar,,
SN000169,"as everybody knows, certainly",are_4,,,,unclassified,,
SN000170,won't you? aren't you? alright?,are_boha,,,,questions,,
SN000171,kind of millipede,areau,,,80d26a24fd0bad4f9ef97521f46db7d3,"animals, unclassified",,myriapoda
SN000172,so that we,arepaa,,,,grammar,,
SN000173,name of a breadfruit tree whose fruit are edible,ariarikoo,,,,plants,,
SN000174,"wild, inedible brown roundish yam which grows on a vine",ariata,,,f8dbc049843ada70a2072907375da9ad,plants,,dioscorea species
SN000175,"breadfruit seed, eaten together with breadfruit when cooked",arikoo,,,bcdbd6a163316f25560c8b35580dfc39 ; 79d7efdcb9c46b41d7050a51e89ccd3e,plants ; food & drink,,
SN000176,pull out something,arin,"In the example below the object of <arin> refers to the affected inside of the body, not to the things that are pulled out as is the case with <arin tavusu>",,d07a5ad829fa7d28448ae7f83bf17180,removal,,
SN000177,pull out intestines and other body parts when butchering an animal,arin_tavusu,,,d07a5ad829fa7d28448ae7f83bf17180 ; 7e7e0918c3ec2c7d79abdf200e523dec,removal,,
SN000178,Long-Tail Stingray,ariono_1,,,7dfc7a0da32808039714066b75ea2980,"animals, fishes",,Dasyatis longa
SN000179,vine species used for making strings,ariono_2,,,c0cbf2e5d2f8f42ec0fe189421f94881 ; d6a981eb51ec4d639fa561094f6a1efc,tools & weapons,,
SN000180,be sticky,arioto,,,,physical properties,,
SN000181,Giant Cockroach,aro,,,,"animals, insects",,
SN000182,swallow something,aromo,,,,body & health,,
SN000183,burn,asi,,,,fire,,
SN000184,burn down (process),asi_gunaha,,,,fire,,
SN000185,burn hot,asi_kaku,,,,fire,,
SN000186,burn to ashes,asi_kavu,,,fa6423640a238d5c2715e2c62bab9fcf,fire,,
SN000187,burn for a long time,asi_manoto,,,,fire,,
SN000188,burn something,asi_ni,,,,fire,,
SN000189,catch fire one after the other,asi_petepete_komana,,,c7e75757a340deab80f2c38aaef0d9b2,fire,,
SN000190,burn like soft wood,asi_vabarabarana,,,,fire,,
SN000191,burn until dawn,asi_vatakaha,,,,fire,,
SN000192,burn for a long time,asiasi_manoto,,,,fire,,
SN000193,burn hot,asiasi_pii,,,,fire,,
SN000194,burn well,asiasi_vamataa,,,037bae886da4f93a197a7e2e239b2c8b ; 911e8f9162edd76fba93984701915c3e,fire ; plants,,
SN000195,sneeze,asiasiriva,,,,body & health,,
SN000196,kind of emperor,asiata,,,7687d8a5b17a5dd4952ba33e2f256cbf,"animals, fishes",,Lethrinidae
SN000197,"type of cucumber that is yellowish on the outside with orange flesh and seeds, eaten raw or cooked",asimuru,,,,food & drink ; plants,,
SN000198,putty nut tree; atun tree; makita tree; a tree with nuts used to putty the knotholes in the canoe,asita_1,,,8ce3f404ceb253500d744d9d05d1219e ; 6d3e4347b1a3650da9093e4aef64762e,plants,,atuna racemosa
SN000199,"putty nut, brown and oval-shaped nut with a hard shell",asita_2,,,6d3e4347b1a3650da9093e4aef64762e ; 753e0c23e7bb4dba001d53c5bfb37273,plants,,
SN000200,putty nut glue,asita_3,,,,substances,,
SN000201,putty the knotholes in a canoe with a mash of putty nuts,asita_4,,,,boats & other means of transport,,
SN000202,kill many people,asuasun,,,,unclassified,,
SN000203,murderer; killer,asuasun_aba,In the examples below <asuasun aba> forms a NP in the function of a predicate and an apposition.,,,persons,,
SN000204,kill people with something,asuasun_aba_ni,,,,unclassified,,
SN000205,kill people; be a killer; be a murderer,asuasun_vamate_aba,,,,social interaction,,
SN000206,beat somebody up; kill,asun,,,,unclassified,,
SN000207,destroy,asun,,,,,,
SN000208,kill people with something,asun_aba_ni,,,,unclassified,,
SN000209,"hit, beat, or bash somebody to death; kill somebody; murder somebody",asun_vamate,,,,unclassified,,
SN000210,on the way,atai,,,,spatial relations,,
SN000211,liver,ate,,,,body & health,,
SN000212,muscle,ateate,,,,body & health,,
SN000213,touch something or somebody; hold or get hold of something or somebody; grab something or somebody,ato_1,,,21062b571966deb59f951883f109a00a,unclassified,,
SN000214,yard (unit of measurement),ato_2,,,,dimensional properties,,
SN000215,kind of firefly,ato_3,,,,"animals, insects",,
SN000216,hold a position; take up a particular kind of work,ato_a_kiu,,,,unclassified,,
SN000217,hold something (in one's hands); catch something by hand,ato_ni,,,ddeba1474fa83e859f5dbe72d7afde2e,fishing,,
SN000218,hold something firmly,ato_vakikis_ni,,,,house,,
SN000219,hold something steady,ato_vamasuu_ni,,,79e67cd15d3a1162dcbad1518a8a9ae1 ; b330fde347059bf33a7e2ebfe4cdb9f1,position,,
SN000220,"kind of a creeping plant, weed",atoa,,,c1fae3f6249a7474f5757ec1c9c4326c,plants,,
SN000221,catch usually with the hands,atoato,,,,fishing,,
SN000222,hold or get hold of many people or things,atoato,,,,,,
SN000223,hold many things,atoato_ni,,,,unclassified,,
SN000224,"hold many positions, jobs, responsibilities",atoato_ni,,,,,,
SN000225,leave someone/something behind,atono,,,,transfer,,
SN000226,"take someone somewhere and leave him/her there, deliver something",atono_ni,,,,transfer,,
SN000227,sago palm,atovo_1,,,008bb83429bc00cb087d2e0c9cb8700d ; fae69376f41a274146e24435d275ad54 ; 892f23c87a3d06692b097b93a388c761,plants,,metroxylon bougainvillense
SN000228,sago palm thatch,atovo_2,,,1fd8ce5f5984d54ca7531916b1458067,house,,
SN000229,nut of the sago palm,atovo_3,,,fae69376f41a274146e24435d275ad54 ; 892f23c87a3d06692b097b93a388c761,plants,,
SN000230,leave a place to resettle somewhere else,aun,,,,motion,,
SN000231,"leave a place to resettle somewhere else (because of a natural disaster, war, etc.)",aun_kahi,,,,motion,,
SN000232,leave for a place,aun_pete_vo,,,,motion,,
SN000233,leave (the village and) go into the jungle,aun_tagihu,,,,motion,,
SN000234,leave (a place and come) back here,aun_vaha_maa,,,,motion ; spatial relations,,
SN000235,help somebody; assist somebody,ausu,,,,social interaction,,
SN000236,cave; big hole in a tree or rock,avaava_1,,,52407db3c1f5b96923dd49918690a8cb,environment,,
SN000237,"feel something, search with the hands by touching something many times",avaava_2,,,,perception,,
SN000238,die and become empty (of shellfish),avaha,,,f08b958b9c9ccb50deda70bd0ec5124d,"animals, shellfish",,
SN000239,you (pl.),avameam,,,,grammar,,
SN000240,arrow,avana,,,62ec87528c85b5f0641263e63d04c348,tools & weapons,,
SN000241,me,avanaa,object marker followed by the immediateness marker and the 1st person singular object pronoun marked by the prefixed object marker,,,grammar,,
SN000242,us (but not you),avanam,,,,grammar,,
SN000243,collect many things at different times,aveavete,,,,transfer,,
SN000244,tun,averu,,,f2e01b204bb311110d725a203bb86574,"animals, shellfish",,
SN000245,"collect something (e.g. fish, sea cucumbers, nuts)",avete,,,bd90792a5149f6be57eb23d80b5d589f ; 615757ba31f3df461161e357b1713539,fishing,,
SN000246,collect something and put it somewhere,avete_vo,,,,transfer,,
SN000247,serve someone more (food),aviavisi_vabero_ki,,,,transfer ; food & drink,,
SN000248,"small, sharpened, skewer-like stick made from palm wood used to poke food to check if it is done and serve sweet potatoes or taro",avisi_1,,,,food & drink,,
SN000249,serve cooked food with an avisi-stick,avisi_2,,,,transfer ; food & drink,,
SN000250,poke cooked sweet potatoes or pieces of taro with a stick to test if they are done,avisi_2,,,,,,
SN000251,"serve food, but leave a rest in the pot or basket",avisi_kahi,,,,transfer ; food & drink,,
SN000252,serve some food for someone,avisi_ki,,,,transfer ; food & drink,,
SN000253,take potatoes out of the pot with the poking stick,avisi_ni,,,,food & drink,,
SN000254,get something with a poking stick out of a pot and let it cool off,avisi_vakunio_ni,,,,food & drink,,
SN000255,"dust, ashes",avu,,,,environment ; fire,,
SN000256,me,avuanaa,object marker followed by the immediateness marker and the 1st person singular object pronoun marked by the prefixed object marker,,,grammar,,
SN000257,us,avuaraara,,,,grammar,,
SN000258,"full of dust, dusty",avuavuana,,,,physical properties,,
SN000259,smelling nice; fragrant,avuavuhu_1,,,,physical properties,,
SN000260,fragrant herbs,avuavuhu_2,,,fa63fb85e9ffa678b54ab282b681443a ; 4589bec21d991872559175944b2f5fd9 ; 173e8a23579dd66062ac192243208dfb,perception,,
SN000261,having a bad smell; stink,avuavuhu_hata,The reduplicated form <avuavuhu hata> signifies intensity and suggests that it is derived from the adjectival possessive construction <avuhu hata> which is treated as a single word.,,,body & health,,
SN000262,"Badsmell, an insect called stinker, because it smells bad",avuavuhuhata,,,88064c16978087b0864ec205ac3d4d29,"animals, insects",,
SN000263,brother-in-law; sister-in-law,avue,,,,persons ; kinship,,
SN000264,smell; have a smell,avuhu_1,,,,perception,,
SN000265,smell something,avuhu_2,,,,perception,,
SN000266,smell; odor,avuhu_3,"The noun <avuhu> is frequently found in adjectival possessive compounds, e.g. <avuhu hata> 'having a bad smell'.",,,perception,,
SN000267,smell and recognise something,avuhu_ahe,,,0a9e9c546f55b9878d14f69d46d2cd04,perception,,
SN000268,smelling of raw fish,avuhu_buhiana,,,,"perception ; animals, fishes",,
SN000269,stinking; having a bad smell,avuhu_hata,,,,perception,,
SN000270,having a good smell,avuhu_mataa,,,,perception,,
SN000271,smell of certain fish when cooked,avuhu_ukee,,,,perception,,
SN000272,shell used as nose jewelry,avuin_1,,,337c056670df89962747e70d9b6f2690,"animals, shellfish",,
SN000273,do the nose-piercing,avuin_2,,,,culture,,
SN000274,"kind of antplant, a tree with red sap",avuisi,,,7c88c528751ee1a1d54ae9c5681fe07f ; 63a266677a2b6e8722b0d1db50f92325 ; fecfc8faa655b69692ee15c276c59711,plants,,macaranga species
SN000275,"stick that is cut off an ant plant and used for poking sweet potatoes to test, if they are done",avuisi_huuhuu_kaukau,,,7c88c528751ee1a1d54ae9c5681fe07f,food & drink,,
SN000276,object marker,LX000003,"The object marker <a=/=a> cross-references primary pronominal objects of the 1st person singular, 1st person plural, and 2nd person plural.",,,grammar,,
SN000277,plural marker for kinship terms,ba,"The plural marker signifies that people of the same kind of kinship belong to the same generation. It is classified as a noun of the second class n2, because it determines the selection of the article.",,,kinship ; groups & collections ; grammar,,
SN000278,brothers of a man; sisters of a woman,ba_keara,,,,kinship,,
SN000279,mothers; relatives on the mother's side,ba_sinariori,,,,kinship,,
SN000280,our grandparents,ba_suburaara,,,,kinship,,
SN000281,Narrow-Banded Sergeant-Major,baaban,,,4abeade7942c82169a8365cbc7a0a61c,"animals, fishes",,Abudefduf
SN000282,sea-firefly,baanun,,,,"animals, insects",,
SN000283,ball,baara_1,,,66da0be4871068703a01ae2c1331341c,unclassified,,
SN000284,well,baara_2,,,,unclassified,,
SN000285,barge,baas,,,,boats & other means of transport,,
SN000286,"stupid, silly",babaaru_1,,,,cognition,,
SN000287,idiot,babaaru_2,,,,persons,,
SN000288,stupidity,babaaru_3,,,,cognition,,
SN000289,be shocked and confused,babaaru_pinopino,In the examples below the modified adjective functions as the head of a TAM-marked phrase.,,,cognition ; emotions,,
SN000290,listen to somebody,babaitono,,,,perception,,
SN000291,hear of/ about something many times,babaitono_ni,,,,perception,,
SN000292,hear that something is the case,babaitono_voen,,,,perception,,
SN000293,small shark; baby shark,babakui,,,b788a18d197902c979da526369056abf,"animals, fishes",,Selachimorpha
SN000294,be shut; be closed,babanihi_1,,,,house,,
SN000295,door panel,babanihi_2,,,,house,,
SN000296,"be surprised, be shocked",babara,,,,emotions,,
SN000297,young drummer,babarii,,,be1bf43c00e49cde75b2ac67fa9c06d2,"animals, fishes",,Kyphosidae
SN000298,"taboo sign, forbidding anyone to pass through or pick fruit from a tree",bae_1,,,,culture,,
SN000299,be taboo,bae_2,,,,culture,,
SN000300,taboo (the custom of not doing something),bae_3,,,,culture,,
SN000301,enclosure,bae_4,,,,culture,,
SN000302,put a taboo on something that should not be used by others,bae_ni,,,,culture,,
SN000303,put a taboo sign on something,bae_pina_ni,,,,culture,,
SN000304,build an enclosure around something (in order to protect it),bae_taviri,,,,spatial relations,,
SN000305,"stinging nettles, gympie gympie, stinger, plant which grows wild in the bush and has big leaves that secrete a stinging substance",baea,,,1dffdd390b1f7ae4f4973a257f86a115 ; c24c7641fc257a171990fa3d2adbe2a1,plants,,
SN000306,shield something (with something),baebae,,,,unclassified,,
SN000307,bag,baeke_1,loanword,,,containers,,
SN000308,put something into a bag or bags,baeke_2,loanword,,,transfer,,
SN000309,hoe (tool),baere_1,,,,tools & weapons,,
SN000310,hoe (action),baere_2,,,,agriculture ; agriculture,,
SN000311,kind of fishing net,baesusu,,,,tools & weapons,,
SN000312,mango tree,bai_1,,,83fa1e2f7f0fcad9e5567dedc9592f21 ; 4ba448c7f9651c0d51171cd616d64034,plants,,mangifera indica
SN000313,mango fruit,bai_2,,,,food & drink,,
SN000314,"Cradle Donax Clam, Diphos Sanguin Clam",baibai,,,6fa83835a0760b3aadd490577985c73c,"animals, shellfish",,
SN000315,hear someone or something; listen to someone or something,baitono,,,39b9df9937df53345c950b2febd6e372,communication,,
