ID,Language_ID,Primary_Text,Analyzed_Word,Gloss,Translated_Text,Meta_Language_ID,Comment,Corpus_Reference,Sense_IDs
XV000011,tio,"A aasun na rahi raara bona kanono tea huuhua ge teo pasu araa. Ahiki ta beana, eara na kisi koa ni rara a nasi.",,,"We catch the tuna with a plastic string when we paddle, or with a fishing rod. There is no bait, we just tie the hook to the line for tuna fishing.",,,Eno 11W 002-003,SN000005
XV000012,tio,a aba vaa Rabaul,,,a person from Rabaul,,,Mah 13R 0944,SN000006
XV000013,tio,a aba vaa tea vagana,,,a fisherman (lit. a person of the fishing),,,Nah 02R 024,SN000006
XV000014,tio,tea buaku a aba vaa komano sinivi,,,for the two people in each canoe,,,Sii 06RG 336,SN000006 ; SN002138
XV000015,tio,"O buaku o kaku tobene, a tobene vai a beera ae a aba vai to dao riori bona maratobene.",,,"There are two kinds of Bumphead Parrotfish, the big tobene and the one that is called maratobene.",,,Vaa 09W 395,SN000007
XV000016,tio,"Bea aba mate, enam repaa pae nie.",,,"When someone died, we buried him.",,,Tav 01E(Joy) 013,SN000007 ; SN002970
XV000017,tio,O tagu one na abaaba bata maana.,,,The lump of clay appeared to be a person.,,,Iar 02RG 069,SN000008
XV000018,tio,A vaan teara na abaaba nana.,,,Our village is full of people.,,,SiiSen 01W 002,SN000009
XV000019,tio,Na abaabana binbin batana tea garas bara tea maa mohina be gaga batana bona miraa.,,,It jumps around in the grass and in the gardens when it is drinking the dew. (i.e. the grasshopper called vaasiririi),,,Ond 03W 003,SN000010 ; SN000802
XV000020,tio,"Beara gunaha kasuana, o vahara kaposi repaa van abaabana bata araara. O vahara kaposi na teitei batari tea uraan.",,,"When we go down to the beach, the little sea bugs, they all jump at us. The little sea bugs stay in the sea rubbish.",,,Sii 33W 163-165,SN000010 ; SN001693 ; SN005928
XV000021,tio,"Me peana oreorere nana, a vahara beiko he abaabana tavus.",,,"And while he was busy screaming, the children jumped out one after the other.",,,Mor 02E(Eno) 082,SN000011 ; SN003103 ; SN003338
XV000022,tio,"Teo bon bona he, a abana vaa vaan na vagavagana rapana vaan.",,,"On this day, however, the men of the village were fishing near the village.",,,Aro 06E(Eno) 054,SN000012 ; SN005620
XV000023,tio,A abana vaa tahii o vagavagana vamataa kurusu.,,,The people of the sea are very good fishermen. (lit. (are) very well fishing),,,SiiSen 01W 003,SN000012 ; SN005620
XV000024,tio,"Nabunuu roho, a kaku goroto, amaa abana bebeera koa to pakupaku roho bari.",,,In former times the butchering of turtles was only done by chiefly men.,,,Naph 01W 031,SN000012 ; SN000014 ; SN000406 ; SN001545
XV000025,tio,"Ean na antee nom tea sun rapana kepakepa, ean repaa abana vo namana.",,,You can stand at the edge of the cliff and then jump into the ocean.,,,Sii 47W 114-115,SN000013
XV000026,tio,Amaa meha maa vuri a iana bona ore paa abana hiava namana.,,,Sometimes this fish jumps high up out of the ocean. (i.e. the tanini mackerel),,,Sii 46W 099,SN000013 ; SN000017 ; SN001099
XV000027,tio,"A kiu tea abana bebeera koa, paku vonae tea kaku guu mee.",,,It was exclusively the work of the chiefs like the killing of the pig.,,,Naph 01W 033,SN000014
XV000028,tio,"A tavaan, maa moon, a abana beiko paa nomaa tea inu te chief.",,,"The people, the women, the young men came to the house of the chief.",,,Iar 02RG 139-140,SN000015
XV000029,tio,"Erau, Moogee abana gunaha vai kahi bono naono vai to takaku,",,,And so Monkey jumped now down from that tree that broke,,,Val 02R 086-087,SN000016
XV000030,tio,"mepaa abana hiava me mosi kurusu bono kara voi,",,,"then jumped up and cut off the vine of the yam,",,,Skae 01W 079,SN000017 ; SN002756
XV000031,tio,"Naa kao hovo bata nom, eove he abana tatana amanaa.",,,"As I was going in, he jumped towards me (as in greeting a friend).",,,Pur 02R(Pur) 125,SN000018
XV000032,tio,Na pahin popo roho teo hum to abana vamate roho e Matabuu.,,,(She) remained exactly at the place where Matabuu had jumped into her death.,,,Val 03E(Eno) 118,SN000019
XV000033,tio,Enam kahi abana vo nom teo tarai.,,,"""We are going to jump into the clamshell.",,,Aro 03R 035,SN000020
XV000034,tio,"Mepaa abana vo tea ruene, ...",,,"And (she) jumped into the river, ...",,,Aro 01E(Eno) 080,SN000020
XV000035,tio,O voi na abe nana teo ohita.,,,The yams wind around the galip tree.,,,Ond 01W 002,SN000021 ; SN006539
XV000036,tio,A kara koris na abe bono overe.,,,The vine is creeping on the coconut palm.,,,SiiSen 01W 186,SN000021
XV000037,tio,a abeabe nae,,,his reflection,,,Aro 02R 115,SN000022
XV000038,tio,"To tara me riori bari teo abeabe vai o CD ae o video, meori boha vo rien o toho.",,,"When people see it (the war) on a picture, on a CD and a video, they think it is a play.",,,Eno Tah 01E(Eno) 139,SN000022 ; SN004930
XV000039,tio,"O peho sii kaku iana o paruparu, eori he na naonao vaagum batari. A bero amaa vuri eara repaa vurahe riori tea maa hana taataana. Amaa mihu vuri toro tei vaagum tamuana batari. O sii iana bari saka bebeera haari, o sii vahavahara koa. O sii vahara iana bari mee o toutou vakamisi rakaha, o aniani, evehee saka aniani vira haa raara.",,,"A kind of black fish, they move in a group. Often we find them in the places where one can walk on the reef during low tide. They always stay together in a crowd. These fish are not big, but only small. These little fish are painful stingers. They are edible, but we don't eat them very much.",,,Eno 11W 005-010,SN000023
XV000040,tio,a iana bara karuu ae a overe,,,"fish, karuu nuts and coconut.",,,Sii 02R 541,SN000024
XV000041,tio,"... evehee o beiko o bero, beiko moon ae o beiko otei.",,,"... but there were many children, girls and boys.",,,Aro 12R 003-004,SN000025
XV000042,tio,Enam ahiki ta tapeako ae ta kaukau.,,,We had neither manioc nor sweet potatoes. (lit. We (it did) not exist any manioc ...),,,Iar 02RG 114,SN000025 ; SN000047 ; SN000741
XV000043,tio,"Na gono kaakoo mi raara tea tasukihi, ae tea huuhua.",,,We catch it by (the fishing method called) tasukihi and by line fishing while paddling.,,,Eno 20W 046,SN000025
XV000044,tio,"Enaa na tei maa o buaku o vinu teebona, teo 1957 ae teo 1958.",,,"I stayed there two years, 1957 and 1958. (lit. in the 1957 and in the 1958)",,,Sii Eno 01W 017,SN000025
XV000045,tio,"Eara vahuusu vai a vaan, mepaa aeae u a vaadee!",,,"We are close to the village, and the load has become light!",,,Viv 01E(Eno) 080-081,SN000026 ; SN005169
XV000046,tio,E ta naono vai e ta aeae koa.,,,Just light pieces of wood.,,,Sii 41W 008,SN000026
XV000047,tio,Nomana a pusu hiovu na paku riori bona maa hum aeana vai a bebeahu. Na karem vakakaniva riori bona maa soo aeana.,,,Today the (coconut) husker is made from a long piece of iron. It is sharpened with an iron saw.,,,Joy 17W 064,SN000027 ; SN001766 ; SN001767 ; SN003650 ; SN004092 ; SN005776
XV000048,tio,bara ta aeana to dao nom nam bona romrom.,,,"(He carves the inside of the canoe out, (he) uses the axe) and a piece of iron that we call a ""romrom"".",,,Mor 04R 035,SN000027
XV000049,tio,A Solomon he saka aga haari bari.,,,The Solomon islanders do not have an outrigger on them (i.e. their canoes).,,,Mor 04R 130,SN000028
XV000050,tio,O naono vai o kopihoo na paku riori bono aga no sinivi.,,,The kopihoo tree is used for making the float of the canoe.,,,Sii 17W 218,SN000028 ; SN002177
XV000051,tio,"Eara na agaa bata koara beara tatasu bata koa ni naora a kanono. Bea iana koto maa, eara repaa rahie.",,,"We are floating (in the canoe) when we cast a line. When the fish bites, we pull it up.",,,Eno 16W 002,SN000029 ; SN004777
XV000052,tio,na vahuhu rori tea maa nama ruene vai to agaa nana,,,they (the toads) lay their eggs into stagnant fresh water pools,,,Sii 44W 034,SN000029 ; SN002855 ; SN002858
XV000053,tio,"Eam kahi nao tea sunuu taataana mia pihae, enaa kou kahi tahoa mi nom o raama tea agaagaa en Teavorana.",,,"You will go and do torch fishing on the reef with (torches made of) coconut fronds, while I will set off with the lamp to fish while floating in the canoe near Teavorana.",,,Eno 16W 126,SN000030 ; SN002642 ; SN003425 ; SN003663 ; SN004233 ; SN004843
XV000054,tio,A pasuaboon na rahi raara bona sitiring tea agaagaa ge tea sunuu taataana.,,,We catch the beardfish with a plastic line while sitting in a floating canoe or walking on the reef with torches.,,,Eno 11W 169,SN000030
XV000055,tio,A roovu na gono raara tea araa - tea kaku araa to dao raara bona agaagaa ge busubusu ge tea sunuu taataana.,,,"We get the grouper by line fishing - a kind of line fishing that we call ""floating"" or ""casting"" or ""torching"".",,,Eno 11W 195-196,SN000030 ; SN000144
XV000056,tio,O naono vai o agevana na purapura batana tea maa apao bara na pura pinopino batana mee. Tea maa rasuu teara ahiki bean tara vahiki o naono vai to dao raara bono agevana. O naono bona na ubi raara mene vahogisi nahu. Omana saka asi manoto haana ore paku voen teo naono vai to dao riori bono ruhu. Na asi vabarabarana nana ei ve na tagirava koana ore paa mutee vahaa.,,,"This tree, the Pink Siris, grows in old overgrown gardens and grows everywhere in all directions. In our bush you cannot miss seeing the tree that we call agevana. The wood of this tree we collect for stoking the fire under the pot. True, it does not burn for a long time, it is like the wood of the tree that is called ficus tree. It burns quickly, it just flames up and then it is out again.",,,Sii 17W 022-028,SN000031
XV000057,tio,"Bean rake tea bun o sinivi tean vai o voon, ean repaa asi nia hae agevana, ore hee vuan bono aniva vai o beera. Beo suraa mutee, ean repaa gonogono a mata aniva. Bean unuunu vakavarae, ean repaa pipiuvu kahie bono avu. Beo avu kavara, ean repaa gono mie ta vasu. Kokono aniva komana ge kokono one, a vasu bona a govihoo, ei a govee. Be kavara, ean repaa vaatei ee tea tope, ean repaa komae bene ta vaanomo overe. Ean repaa vavereverete. Ean repaa bun mana o sinivi tean. Kavara vai, ean repaa vaahoa nio sinivi tean vo tahii tea kavekave. Beam voosu maa tahii, amaa moon repaa ma gogi bona maa iana team vai teo sinivi vai o voon. O sinivi vai o bun one bara aniva, o sinivi bona o sipoana.",,,"When you want to paint your canoe, you burn a bundle of pink siris wood to give you much charcoal. When the fire is out, you get some pieces of charcoal, When you have them collected, you blow off the ashes. When the ashes are all gone, you get a stone for it. Crush the charcoal itself or crush clay, this stone is a govihoo, it has a hole. After that you put it into a coconut shell, then you pour a bit of coconut oil on it and stir the ashes and the oil. Then you eventually paint your canoe. After that, you launch your canoe into the sea to go netting. When you return from the sea, the women will celebrate your fish in the new canoe. The canoe that is painted with clay and charcoal, this canoe is blessed.",,,Sii 17W 031-040,SN000031
XV000058,tio,"Agomo are tean, ean repaa naanaha meve bono marai ae a eva tean.",,,"Put your betel nut into your mouth, then you chew it with pepper and your lime.",,,Jan 01W 002-003,SN000032 ; SN000761 ; SN002804
XV000059,tio,"Teebona to kahi avuhu ae tara mau o iana bona, eori repaa maa agomo bona beana.",,,"So the fishes will smell and see it, and then they will come and swallow the bait.",,,Eno 15W 011,SN000032 ; SN000265
XV000060,tio,"A iana kahi koto mau be boha voen a sii rutaa iana to nao batana, eve repaa ma agomo vahoara bona iri.",,,"A fish will bite when it thinks that a little fish is swimming along, and then it comes and accidentally swallows the hook.",,,Eno 16W 043,SN000032
XV000061,tio,A sii kiu teve tamuana a aha avuin.,,,His job was always to rub (and polish) the avuin nose jewelery.,,,Aro 10E(Eno) 003,SN000033
XV000062,tio,E roosuu na aha nana bono avuin teve.,,,The giant is polishing his avuin (a shell of a shellfish).,,,Aro 10E(Eno) 023,SN000033
XV000063,tio,mepaa hio hanana evehee tea aha bono avuin,,,and (the giant) sat on the road while he was polishing the avuin shell,,,Aro 10R 016,SN000033 ; SN000272 ; SN001016
XV000064,tio,Ean toro aha a nihiman tea nubunubu bara tea tauravi.,,,You must brush your teeth in the morning and in the afternoon.,,,SaoSen 01W 001,SN000033
XV000065,tio,Murinae enam paa aha eve teo iaha vo tea besin.,,,Then we grate it (manioc) with the grater into a bowl.,,,Hel 01RG 013-014,SN000033 ; SN000484 ; SN001347
XV000066,tio,"Bean aha nia anoo teo karimana, o kapa karikaripuu repaa tarudaha.",,,"When you rub the oyster shell against the coral stone, the rough cover gets off.",,,Sii 45W(Joy) 005,SN000034 ; SN001776 ; SN004737
XV000067,tio,Aha nia toon na averu tea vasu ore kakaniva.,,,Rub the back of the averu shell on the stone so that it becomes sharp.,,,SiiSen 01W 030,SN000034
XV000068,tio,A vahara beiko na aha sosopene rori kasuana.,,,The children are scrubbing the pots on the beach.,,,SaoSen 01W 002,SN000035
XV000069,tio,meori pita oha nao bono hum ahaaha avuin te roosuu,,,and they walked past the place where the giant usually polishes his avuin shell (lit. the avuin polishing place of the giant),,,Aro 10E(Eno) 011,SN000036
XV000070,tio,"O kehaa bona na vonivoni moon bata ni riori. Na ahaaha riori, ore paa von moon ni riori.",,,This shell is used for the bride price. They polish it and then pay the bride price with it.,,,Sii 45W(Joy) 319-320,SN000036
XV000071,tio,A paka no ivoohi na raniranii nana. Na ahaaha raara o nahu vai o paru. O ivoohi na potee nana bono sandpepa.,,,The leaf of the ivoohi is rough. We use it for scrubbing black pots. The ivoohi is like sandpaper.,,,Sii 31W 021,SN000036 ; SN001441 ; SN003738
XV000072,tio,"A saruve na pakupaku raara bona sinoo iana gea sinoo pasuhupi, a nasi he na pakupaku raara bona kehaa to dao raara bona ahaahavuin.",,,"The saruve-hook is made from fish bone or the bone of the flying fox, the nasi-hook is made from a shell that we call ahaahavuin.",,,Eno 16W 116,SN000037 ; SN002914
XV000073,tio,Ahaik to hum toro vaavon ni raara amaa kaura bara amaa kaakau.,,,There isn't any place where we could sell copra and cocoa.,,,Mah 13R 0308-0309,SN000038 ; SN001821 ; SN005559
XV000074,tio,Merau me Biroo paa taneo tea ahe.,,,Then Biroo started to count.,,,Aro 05E(Eno) 032,SN000039
XV000075,tio,"Mepaa no ahe bona maa iana, a kukan koa.",,,"(She) went and counted the fish, (they were) only three.",,,Ata 01R 085,SN000039
XV000076,tio,"Eara repaa kasi, are kasi antee, beara kasi ahe komana nae.",,,"Then we will dig, we will dig, until we recognise its belly. (i.e. the belly of the haopi wrasse)",,,Hel 09E(Sha) 009,SN000040 ; SN000130 ; SN001799
XV000077,tio,A tavaan teara mee paa nata vaevuru tea ahe bona koara bona.,,,Our people also already knew to read this language.,,,Eno Tah 01E(Eno) 111,SN000041
XV000078,tio,O beiko toro kona maa tea ahe bono music.,,,The children must know to read music.,,,Rum 01R 342,SN000041 ; SN002140
XV000079,tio,meam paa aheahe?,,,and you sang?,,,Vaa Mah 06R 034,SN000042
XV000080,tio,"Meori paa aheahe habana koa, e roosuu he vababaitono vareko maana.",,,And they sang again while the giant was listening.,,,Aro 12R 056,SN000042 ; SN005577
XV000081,tio,Erau kahi aheahe nana bona aheahe.,,,And so he was going to sing the song.,,,Nan 03R 088,SN000042
XV000082,tio,Kaku aheahe tabae?,,,What kind of songs?,,,Vaa Mah 06R 036,SN000043
XV000083,tio,Ei paa gono vamataa vaevuru bono aheahe.,,,Now (he) had already well grasped the song.,,,Aro 12R 106,SN000043
XV000084,tio,O vuri vai paa nata vaevuru ni bono aheahe.,,,This time (he) already knew the song.,,,Aro 12E(Joy) 046,SN000043 ; SN002921
XV000085,tio,Me sinane Bukimeasun paa baitono maa bono aheahe.,,,And Bukimeasun's mother heard the singing.,,,Nah 02E(Eno) 066,SN000043 ; SN000315
XV000086,tio,"Enaa he aheahe vakavarae, menaa paa paku o vakokona tenaa voen, enaa toro nao vakisi.",,,"When I had finished reading it, I made my plan, I still had to go there.",,,Sii Eno 01W 114,SN000044
XV000087,tio,"A iana vai a ahiahi, a iana bona a mataa kurus. Ahiahi na potee nana bona hoovu, evehee a ihu bebeeahu bara pana nae mee a pana gogooravi. O karivana teve na beera nana ei kou a iana a beera. A iana bona a karivana nae na marabi vareko nana. A iana bona na aniani batana bono vasu, a monamonaa mee.",,,"The ahiahi emperor, this fish is very good. The ahiahi emperor is like the Red Emperor, but it has a long nose, and also its cheeks are red. Its scales are big, it is a big fish. The scales of this fish are a bit brown. This fish eats stones, it is also greasy.",,,Sii 11W 027-031,SN000045
XV000088,tio,"Ahiahivi. O naono vai o kikis kurus. O naono bona na mataa nana tea paku inu, ei kou o kikisi, na kikisi potee nana bono toraha. O ahiahivi na sunsun batana tea maa sii toro mohina vai to teitei batari rapana kasuana. O naono bona o tara vamataa. A paka nae o rutarutaa kurus. Eara na daodao rara o ahiahivi bono X-mas tree, ei kou to tara vamanini kurus vonae.",,,"Horsetail Tree. It is a very strong tree. This tree is good for building houses, because it is strong, it is as strong as the New Guinea teak. The Horsetail Tree stands on the little islands that are near the beach. This tree is beautiful. Its leaves are very small. We call the Horsetail Tree the Christmas tree, because it looks so beautiful.",,,Sii 15W 001-007,SN000046
XV000089,tio,"ahiki ta taba ani, ahiki ta ruene gaga",,,"there was no food, there was no drinking water",,,Sia 01E(Joy) 047,SN000047 ; SN003907 ; SN004337
XV000090,tio,Ahiki ta peha ta tootoo.,,,There wasn't anyone alive (i.e. none survived).,,,Val 01R 080,SN000047
XV000091,tio,"Ahiki to suraa, ahiki to raama, ...",,,"There was no fire, there was no lamp, ...",,,Sia 01E(Joy) 046,SN000047 ; SN004241 ; SN004911
XV000092,tio,ahiki ta popo vatamaka,,,there was not any sad life,,,Nan 03E(Eno) 006,SN000047 ; SN003559 ; SN006208
XV000093,tio,"""Amaa hoi team paa hapusuu?""""Ahiki na kara vakisi nana.""",,,"""Are your baskets full?"" ""No, still half empty.""",,,Aro 12R 095-096,SN000048
XV000094,tio,A bua tom tana vaarii a moon ahiki be nao tea ubi.,,,"This couple, the woman did not go to collect firewood.",,,Aro 07R 033,SN000049
XV000095,tio,"Ahiki beori suesue tea tavaan, ...",,,"They did not tell the people, ... (lit. It was not the case that they told the people)",,,Iar 02RG 086,SN000049 ; SN000469
XV000096,tio,Mark: Ahiki kurusu.,,,(Enoch: You did not drink any medicine?) Mart: Not at all.,,,Eno Tah 01E(Eno) 069,SN000050
XV000097,tio,Ahiki kurus to naono vai to sun kokoraa nana teo kasuana.,,,"(When we look at all the trees, we see that all the trees have their roots.) Indeed, there isn´t any tree that stands without (roots) on the ground.",,,Sii 17W 057,SN000050 ; SN002098 ; SN004206
XV000098,tio,"Eori he tea vairaira ni bona taba vai, ahiki kurus beori sue vataaree ni bari, na vavaravihi ori.",,,"When they checked on this thing, they did not talk at all in public about it, they kept it secret. (lit. it isn't at all the case that they talked ...)",,,Iar 02E(Eno) 026,SN000050 ; SN004154 ; SN005761
XV000099,tio,Ahiki ta aba to pasi antee vaha nana tea kikira bona.,,,There was not anybody who would care about her.,,,Val_03R.025,SN000051
XV000100,tio,Ahiki ta aba to paa susue kavanaa.,,,There wasn't anybody who had talked to me.,,,Mah 13R 0724,SN000051
XV000101,tio,Ahiki ta aba to rake nana bono kuhii.,,,Nobody wants the mosquitos. (lit. (it) doesn't exist any person who ...),,,Sii 33W 067,SN000051 ; SN002243
XV000102,tio,"Benaa mate, ahiki ta aba to pasi vaasusu aheahe nana.",,,"When I die, nobody will teach songs.",,,Rum_01E(Joy).145,SN000051
XV000103,tio,Ahiki ta peha teori to doana roho. Na gono bona maa kiu amaa bebeera.,,,"None of them had failed, (They) got big jobs. (lit. There wasn't one of them who had failed.)",,,Pur 01E(Joy) 135,SN000052 ; SN000697 ; SN003371
XV000104,tio,Ahiki ta peha aba to kahi peha nana bono baneo bona.,,,Nobody would climb this breadfruit tree.,,,Jen 01R 005,SN000053 ; SN003374
XV000105,tio,"Ahiki ta peha aba to kahi toku ni kanomanaa,",,,There is not any person who would not know me.,,,Pur 02E(Eno) 020,SN000053 ; SN001603 ; SN004297 ; SN004948
XV000106,tio,"Evehee ahiki ta taba, pasi kavarau.",,,"But it is nothing (serious), it will pass. (lit- But there is nothing, (it) will be finished.)",,,Pur 05E(Eno) 185,SN000054
XV000107,tio,Ahaiki ta taba to vaaponis nana bona ore rahi vaadovo ni bona.,,,There is nothing that would make it heavy to pull it down into the deep sea.,,,Tah 05R 006,SN000054 ; SN003695 ; SN005409
XV000108,tio,ahiki ta taba vai toro paku ori,,,there was not anything they could have done,,,Pur 05R 089,SN000054
XV000109,tio,ahiki vakisi beori tara bona tahii.,,,they had not seen the sea yet.,,,Eno 01R 007,SN000055
XV000110,tio,"Ahio eve a meha taba to vaapeha merina bona bua naovana hiri vai, a gotoo bara takuisi. A tobara otei vaarii a peha vuu aba. Ei kou a pita teori bara vahuhu teori bara peha teori tea naono na vaapeha vakavara komana nana. A taba to vaavaha koa ni nana teori a suin riori. A takuisi a maramarabi, a gotoo he a vavaakirii paru bara maramarabi, e ahio he a pereperee. O ahio o rakerake varoroava.",,,"The ahio lizard is another creature that is similar to two creeping animals, the gotoo and the takuisi lizard. These guys are one family. Because their walking, their reproduction, their tree climbing are all the same. The only thing that is different with them is their body. The takuisi is brownish, the gotoo has black and brown stripes, but the ahio is green. Green lizards enjoy sunbathing.",,,Sii 2008W 002-007,SN000056
XV000111,tio,"A vahara na vuravurahe bata ri raara tea maa kopua, tea ahono.",,,"The little fish called vahara are found in the lagoons, in the green seaweed.",,,Eno 11W 244,SN000057
XV000112,tio,O koriitoo na teitei batari tea ahono.,,,The Tiger Cowries stay in the green seaweed.,,,Sii 45W(Joy) 161,SN000057 ; SN004885
XV000113,tio,A genun na aniani nana bono pesuu ae ahono.,,,The Genun Parrotfish eats the brown seaweed and the green seaweed.,,,Vaa 09W 123,SN000057
XV000114,tio,"Bea tatasu kavara, eara repaa geregerete riori ae ahuhu, beara vaobete batara komana bonaa.",,,"When the beating is finished, we tear off the upper parts and squeeze the water out, when we put them into the basket.",,,Hel 07E(Sha) 016,SN000058 ; SN000831
XV000115,tio,Aia! Aigee! A sii beiko tenaa rehe i!,,,Aia! Yes! My little child is this!,,,Ata 01E(Eno) 085,SN000059
XV000116,tio,"Aia, butara roho!",,,"Well, try it!",,,Aro 15R 056,SN000059
XV000117,tio,Aia! Aigee! A si beiko tenaa rehe i!,,,Aia! Yes! My little child is this!,,,Ata 01E(Eno) 085,SN000060
XV000118,tio,Meori paa kavara aigee.,,,And they all agreed.,,,Val 01R 018,SN000061
XV000119,tio,O kara aisi eve o meho kara naono to abeabe batana tea maa kasuana vaa Hanatana.,,,The aisi is another vine that is creeping on the ground of Hanatana.,,,Sii 24W 002,SN000062 ; SN001699 ; SN001714
XV000120,tio,O kara aisi bona na tei nana kasuana. Ahiki vira ta kiu teve vo teara.,,,"This aisi vine is found on the beach. Actually, it hasn't any use for us.",,,Sii 24W 003-004,SN000062 ; SN001699
XV000121,tio,O gosi vioga na paku bata riori bona maa aito.,,,From the first leaf of the wild betelnut palm they make medicine.,,,Sii 15W 022,SN000063 ; SN000927
XV000122,tio,Meve paa gono bona aito vaa tea vagana teve.,,,He took the herbs for fishing.,,,Skae 03W 034,SN000063
XV000123,tio,Are goe ta varakaha nia maa naono vai to tei bata me nana bona maa aito.,,,We must not abandon the plants that contain healing substances.,,,Sii 17W 080,SN000063 ; SN006079
XV000124,tio,"A otei vai a too aito toro viana ta buaku ge ta dorana ta otei, eove repaa mee ri bari rasuu tea aito.",,,"The man who is an expert on herbs chooses two or four men, then he takes them into the jungle to collect herbs.",,,Eno 09W 003,SN000064
XV000125,tio,O hoi na akaaka vakis nana toro vahapusu am bona maa pauna.,,,"The basket is still half empty, you (pl.) must fill it up with bananas.",,,SaoSen 01W 003,SN000065
XV000126,tio,Eara na antee vakis raara tea vaanoto suraa nie ta naono vai to akoita nana.,,,We still can light the fire with this piece of wood that has turned black,,,Sii 17W 052,SN000066 ; SN000759
XV000127,tio,"E subuava sue vai, ""Overe oi no osi maa am.""",,,"The old woman said, ""The coconut palm (is) there, go and pick (a nut).""",,,Aro 04R 030,SN000067 ; SN003073 ; SN003131
XV000128,tio,O tobara babaaru am!,,,You bunch of fools!,,,Aro 10E(Eno) 131,SN000067 ; SN004916
XV000129,tio,O vaaporo na gono nao roho am.,,,"The gun, you had got it.",,,Mah 13E(Eno) 333,SN000067
XV000130,tio,A kaara teve mee to vaahae ama nao anam.,,,It was also his car that gave us a lift.,,,Mah 13R 0791,SN000068 ; SN000095 ; SN001466
XV000131,tio,A sii ba keara teara na upehe karana ama rara ara.,,,"Our dear sisters think certainly of us, ...",,,Vos 01R(Vos) 079,SN000068 ; SN000278 ; SN001746
XV000132,tio,Amaa iana kavara vai.,,,The fish were all gone now. (lit. were finished now),,,San 01R 034,SN000069 ; SN005750
XV000133,tio,"Ahaik, amaa ruene toro isuvu maa ori mohina, o buo ruene.",,,"No, the water must be fetched from the garden, two water containers, (lit.: 'the waters must they fetch in the garden, two water containers').",,,Kae 01R 142,SN000069 ; SN003904 ; SN003905
XV000134,tio,Evei amaa kaku iobo to aniani raara.,,,These are the kinds of sea-sausage that we eat.,,,Sii 51W 014,SN000069
XV000135,tio,Amaa hoi team paa hapusuu?,,,Are your baskets full?,,,Aro 12R 095,SN000069 ; SN001027
XV000136,tio,Amaa dorana amaa siisia tea peha sikuuru.,,,There are four teachers in each school.,,,Rum 01E(Joy) 063,SN000069 ; SN000707
XV000137,tio,amaa meha maa moon tea meha maa hum,,,other women from other places,,,Nan 01R 136,SN000070
XV000138,tio,Amaa meha maa bon ore paa hiki vakavara koa ta an,,,(On) other days she did not have anything to eat at all,,,Val 03E(Eno) 012-013,SN000070
XV000139,tio,"Bero amaa kaku moorii. Amaa meha amaa bebeera, amaa meha he amaa rutarutaa.,",,,"There are many kinds of citrus fruit. Some are big, but others are small.",,,Sii 17W 257-258,SN000071 ; SN002718
XV000140,tio,"A paka nae to gaga raara beara hiki nia tii. Amaa meha amaa beera, amaa meha he amaa vaamanae koa.",,,"Its leaves are used for tea when we do not have black tea. Some are big, others are only of a middle size. (i.e. the leaves of the citrus fruit)",,,Sii 17W 260-261,SN000071 ; SN005319
XV000141,tio,me tea tauravi to sisira amaanam ori.,,,"and in the afternoon, they examined us.",,,Mah 13E(Eno) 050,SN000072 ; SN004076
XV000142,tio,... ean toro vaasusu pete amanam.,,,... you must continue to teach us.,,,Sii 06RG 070,SN000072 ; SN003420
